state,year,age_under15_deaths,age_15_24_deaths,age_25_34_deaths,age_35_44_deaths,age_45_54_deaths,age_55_64_deaths,age_65plus_deaths
Alaska,2020,0,19,39,43,36,28,6
Arizona,2020,16,368,648,499,440,339,101
Colorado,2020,3,153,344,332,229,211,57
Connecticut,2020,1,82,306,351,298,276,60
Delaware,2020,0,25,95,131,85,94,16
District of Columbia,2020,0,19,67,71,120,176,62
Georgia,2020,2,126,427,496,363,303,93
Iowa,2020,1,31,80,75,73,68,13
Kansas,2020,5,62,92,86,79,87,19
Kentucky,2020,3,135,483,618,420,310,77
Maine,2020,1,30,96,144,109,76,15
Maryland,2020,3,135,631,576,634,602,137
Massachusetts,2020,0,108,565,696,488,394,89
Michigan,2020,4,172,673,725,563,511,162
Minnesota,2020,2,121,275,200,186,145,27
Mississippi,2020,0,33,122,143,103,75,19
Montana,2020,0,9,24,38,23,23,6
Nebraska,2020,2,22,38,36,22,37,5
Nevada,2020,2,114,179,175,190,179,78
New Hampshire,2020,1,21,96,107,85,51,11
New Jersey,2020,1,144,685,674,692,542,142
New Mexico,2020,0,39,170,176,106,102,35
North Carolina,2020,5,278,895,843,614,380,92
Ohio,2020,10,328,1357,1415,1084,769,191
Oklahoma,2020,2,44,143,163,188,188,60
Oregon,2020,1,73,156,154,153,108,56
Overall,2020,84,3484,11855,12491,10141,8071,2104
Pennsylvania,2020,9,286,1304,1412,1085,855,217
Rhode Island,2020,0,22,84,97,94,73,19
South Dakota,2020,0,11,12,21,11,8,0
Tennessee,2020,3,214,732,806,662,447,107
Utah,2020,1,38,118,167,98,86,28
Vermont,2020,0,8,49,41,49,26,4
Virginia,2020,3,168,547,584,449,311,61
West Virginia,2020,3,46,323,396,310,191,39
Alaska,2021,0,25,74,67,60,36,15
Arizona,2021,14,286,725,622,480,432,125
Arkansas,2021,2,31,172,144,103,78,26
Colorado,2021,8,183,452,430,306,243,90
Connecticut,2021,1,61,260,384,377,371,76
Delaware,2021,0,12,99,147,123,105,25
District of Columbia,2021,2,15,61,77,99,181,106
Georgia,2021,4,170,621,640,488,321,126
Hawaii,2021,1,8,24,48,57,72,46
Iowa,2021,1,40,107,78,79,69,26
Kansas,2021,0,65,157,167,128,114,42
Kentucky,2021,3,143,512,687,504,369,71
Maine,2021,0,31,126,181,133,114,22
Maryland,2021,3,128,548,608,607,678,181
Massachusetts,2021,3,119,523,706,589,485,116
Michigan,2021,5,139,678,794,586,560,200
Minnesota,2021,8,140,325,303,231,188,45
Nebraska,2021,0,22,51,36,40,32,7
Nevada,2021,1,73,192,187,176,207,96
New Hampshire,2021,0,27,117,109,79,81,8
New Jersey,2021,6,131,609,723,744,686,195
New Mexico,2021,3,76,222,242,196,182,56
North Carolina,2021,8,282,1084,1041,771,555,106
Ohio,2021,11,282,1268,1546,1175,903,226
Oklahoma,2021,3,64,179,222,248,230,68
Oregon,2021,4,90,225,249,234,207,74
Overall,2021,110,3281,11879,13361,10892,9344,2679
Pennsylvania,2021,13,272,1213,1454,1131,986,267
Rhode Island,2021,0,26,109,103,104,76,30
South Dakota,2021,0,7,16,23,17,11,8
Utah,2021,0,49,134,157,126,83,39
Vermont,2021,0,18,57,72,53,31,7
Virginia,2021,4,194,628,642,522,434,104
West Virginia,2021,2,72,311,472,326,224,50
Alaska,2022,2,16,60,67,51,42,18
Arizona,2022,12,197,622,672,509,451,139
Arkansas,2022,4,40,110,147,128,78,21
Colorado,2022,9,156,407,431,276,282,101
Connecticut,2022,1,44,256,370,322,355,116
Delaware,2022,2,19,106,121,131,121,36
District of Columbia,2022,1,15,66,104,99,211,94
Georgia,2022,4,194,598,705,526,398,130
Iowa,2022,0,30,94,91,75,77,17
Kansas,2022,5,87,146,185,122,141,53
Kentucky,2022,5,121,468,675,510,338,95
Maine,2022,2,36,137,218,141,119,29
Maryland,2022,7,110,474,563,539,609,215
Massachusetts,2022,3,103,475,746,567,579,155
Minnesota,2022,8,121,310,330,240,229,53
Mississippi,2022,1,55,132,202,143,98,30
Missouri,2022,17,173,490,548,380,311,118
Nebraska,2022,3,19,52,47,27,20,7
New Hampshire,2022,2,18,115,127,85,75,22
New Jersey,2022,3,111,575,727,735,700,211
North Carolina,2022,14,292,1052,1090,851,574,129
Ohio,2022,14,256,1163,1421,1068,924,291
Oklahoma,2022,5,78,286,308,282,240,99
Oregon,2022,5,80,281,323,247,250,102
Overall,2022,168,3041,11173,13695,10858,9579,2916
Pennsylvania,2022,19,217,1051,1404,1098,1050,289
Rhode Island,2022,2,22,92,106,94,89,28
Tennessee,2022,11,234,820,1085,865,622,164
Utah,2022,1,33,118,145,143,107,30
Vermont,2022,1,11,54,76,69,38,10
Virginia,2022,5,153,563,661,535,451,114
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
