state,year,alldrug_deaths,opioids_deaths,imfs_deaths,heroin_deaths,rxopioids_deaths,stimulant_deaths,cocaine_deaths,meth_deaths,benzodiazepines_deaths,nonopioid_sedatives_deaths
Alaska,2020,171,111,58,47,46,115,29,92,21,6
Arizona,2020,2412,1867,1474,284,307,1200,202,1003,243,104
Colorado,2020,1329,976,558,277,396,806,278,524,152,96
Connecticut,2020,1374,1278,1158,261,324,570,496,29,317,315
Delaware,2020,446,417,372,105,79,195,153,43,37,0
District of Columbia,2020,515,415,387,115,62,201,186,8,24,5
Georgia,2020,1810,1258,830,468,363,956,395,585,273,199
Iowa,2020,341,194,152,62,53,174,25,151,42,20
Kansas,2020,430,241,151,35,69,222,42,181,63,21
Kentucky,2020,2046,1745,1509,259,406,922,194,728,332,291
Maine,2020,471,405,334,52,115,220,118,101,79,88
Maryland,2020,2718,2525,2345,367,464,1059,929,74,214,380
Massachusetts,2020,2340,2142,1993,273,484,1148,1043,102,537,141
Michigan,2020,2810,2371,2072,558,433,1231,868,385,295,263
Minnesota,2020,956,741,609,198,186,465,105,355,156,59
Mississippi,2020,495,339,255,74,88,235,59,182,69,55
Montana,2020,123,72,24,35,26,67,6,59,11,16
Nebraska,2020,162,85,55,20,32,70,13,52,37,21
Nevada,2020,917,577,278,176,191,576,112,466,177,77
New Hampshire,2020,372,347,317,8,49,114,59,56,17,14
New Jersey,2020,2881,2625,2394,783,502,1223,1011,187,412,107
New Mexico,2020,628,465,265,197,255,383,108,287,81,25
North Carolina,2020,3107,2701,2279,587,529,1552,1045,587,495,414
Ohio,2020,5154,4535,4200,424,599,2328,1349,1062,500,319
Oklahoma,2020,788,298,131,91,98,556,69,493,55,13
Oregon,2020,701,472,226,215,95,397,65,339,43,37
Overall,2020,48232,39926,33677,8485,8948,23148,12053,11296,6727,4537
Pennsylvania,2020,5168,4415,4016,1049,980,2395,1571,896,743,716
Rhode Island,2020,389,324,282,18,106,214,190,19,53,12
South Dakota,2020,63,35,19,4,13,30,4,25,1,4
Tennessee,2020,2971,2395,2049,424,546,1439,470,1003,580,300
Utah,2020,536,391,112,158,174,279,46,215,138,111
Vermont,2020,177,155,138,44,37,82,70,13,6,12
Virginia,2020,2123,1862,1630,561,479,993,620,385,218,99
West Virginia,2020,1308,1147,1005,256,362,731,123,609,306,197
Alaska,2021,277,216,155,104,71,197,20,182,15,7
Arizona,2021,2687,1996,1786,139,260,1533,241,1308,197,116
Arkansas,2021,556,392,310,22,121,313,73,244,124,8
Colorado,2021,1712,1300,974,233,379,1021,341,728,164,130
Connecticut,2021,1530,1418,1314,160,298,669,608,32,303,467
Delaware,2021,511,466,428,89,70,267,224,52,26,2
District of Columbia,2021,541,423,399,79,59,304,282,11,25,8
Georgia,2021,2371,1702,1356,394,371,1426,534,955,283,332
Hawaii,2021,256,77,44,26,22,201,17,185,19,4
Iowa,2021,400,239,199,52,56,211,31,177,50,20
Kansas,2021,673,431,339,51,109,382,84,316,73,41
Kentucky,2021,2289,1948,1728,159,432,1280,252,1048,348,306
Maine,2021,607,546,483,26,151,316,156,170,83,149
Maryland,2021,2754,2515,2348,200,457,1179,1037,97,224,609
Massachusetts,2021,2541,2281,2149,180,458,1441,1304,144,563,138
Michigan,2021,2962,2499,2255,267,391,1459,1004,505,247,243
Minnesota,2021,1240,1017,922,148,175,628,175,485,137,98
Nebraska,2021,188,112,88,4,32,82,21,63,33,17
Nevada,2021,933,545,311,148,169,606,89,522,139,68
New Hampshire,2021,421,378,349,6,39,100,40,63,17,16
New Jersey,2021,3094,2777,2590,536,473,1462,1237,209,495,348
New Mexico,2021,977,731,584,206,254,634,130,526,106,30
North Carolina,2021,3847,3328,3020,304,526,2215,1429,917,487,485
Ohio,2021,5411,4640,4340,223,550,2929,1717,1363,493,359
Oklahoma,2021,1014,438,309,63,120,710,75,645,79,25
Oregon,2021,1083,738,516,260,110,681,85,600,87,61
Overall,2021,51553,42171,37376,5542,8086,28028,14366,14330,6276,5576
Pennsylvania,2021,5336,4530,4165,681,905,2698,1769,1058,706,912
Rhode Island,2021,448,384,338,7,107,263,230,31,74,7
South Dakota,2021,82,35,27,2,10,50,5,46,4,3
Utah,2021,588,412,166,166,158,351,49,286,144,102
Vermont,2021,238,220,207,35,40,129,109,25,9,42
Virginia,2021,2528,2191,2025,459,417,1337,838,546,243,142
West Virginia,2021,1458,1246,1152,113,296,954,160,791,279,281
Alaska,2022,256,190,160,59,43,176,32,144,26,5
Arizona,2022,2603,1959,1797,73,220,1588,227,1397,168,95
Arkansas,2022,528,358,286,11,94,294,70,231,117,11
Colorado,2022,1662,1201,981,95,273,978,317,710,129,143
Connecticut,2022,1464,1348,1255,129,269,679,626,22,250,496
Delaware,2022,536,490,466,65,51,290,236,66,15,1
District of Columbia,2022,590,458,440,62,58,348,325,13,28,18
Georgia,2022,2555,1887,1601,225,357,1521,635,951,220,445
Iowa,2022,384,211,193,37,33,234,44,198,33,23
Kansas,2022,739,487,412,25,93,421,98,341,100,52
Kentucky,2022,2212,1829,1664,95,275,1295,252,1066,255,286
Maine,2022,682,617,559,24,151,395,212,203,89,147
Maryland,2022,2517,2238,2072,88,332,1150,1042,102,102,380
Massachusetts,2022,2628,2348,2209,114,448,1523,1393,154,482,220
Minnesota,2022,1291,1028,952,68,157,707,214,514,113,113
Mississippi,2022,661,483,419,26,73,355,86,286,71,41
Missouri,2022,2037,1547,1457,58,171,1015,322,749,98,184
Nebraska,2022,175,117,95,6,28,75,11,62,32,28
New Hampshire,2022,444,414,399,4,23,156,57,94,22,15
New Jersey,2022,3064,2778,2617,403,376,1605,1324,297,351,370
North Carolina,2022,4002,3494,3222,152,458,2503,1515,1195,340,489
Ohio,2022,5137,4364,4114,129,446,3020,1807,1413,395,391
Oklahoma,2022,1298,748,629,50,127,856,101,773,94,55
Oregon,2022,1288,956,843,137,90,837,112,752,123,53
Overall,2022,51435,42065,38382,3163,6416,29375,15268,15262,5030,5825
Pennsylvania,2022,5130,4345,4029,414,751,2906,2042,1042,565,1083
Rhode Island,2022,433,358,322,13,86,244,220,28,47,11
Tennessee,2022,3801,3062,2820,140,435,2233,792,1570,423,335
Utah,2022,577,414,183,149,167,347,44,295,134,104
Vermont,2022,259,236,220,29,44,143,126,25,35,98
Virginia,2022,2482,2100,1966,283,287,1481,986,569,173,133
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
