state,year,opioids_percent,imfs_percent,heroin_percent,rxopioids_percent,stimulant_percent,cocaine_percent,meth_percent,benzodiazepines_percent,nonopioid_sedatives_percent
Alaska,2020,64.9,33.9,27.5,26.9,67.3,17.0,53.8,12.3,3.5
Arizona,2020,77.4,61.1,11.8,12.7,49.8,8.4,41.6,10.1,4.3
Colorado,2020,73.4,42.0,20.8,29.8,60.6,20.9,39.4,11.4,7.2
Connecticut,2020,93.0,84.3,19.0,23.6,41.5,36.1,2.1,23.1,22.9
Delaware,2020,93.5,83.4,23.5,17.7,43.7,34.3,9.6,8.3,0.0
District of Columbia,2020,80.6,75.1,22.3,12.0,39.0,36.1,1.6,4.7,1.0
Georgia,2020,69.5,45.9,25.9,20.1,52.8,21.8,32.3,15.1,11.0
Iowa,2020,56.9,44.6,18.2,15.5,51.0,7.3,44.3,12.3,5.9
Kansas,2020,56.0,35.1,8.1,16.0,51.6,9.8,42.1,14.7,4.9
Kentucky,2020,85.3,73.8,12.7,19.8,45.1,9.5,35.6,16.2,14.2
Maine,2020,86.0,70.9,11.0,24.4,46.7,25.1,21.4,16.8,18.7
Maryland,2020,92.9,86.3,13.5,17.1,39.0,34.2,2.7,7.9,14.0
Massachusetts,2020,91.5,85.2,11.7,20.7,49.1,44.6,4.4,22.9,6.0
Michigan,2020,84.4,73.7,19.9,15.4,43.8,30.9,13.7,10.5,9.4
Minnesota,2020,77.5,63.7,20.7,19.5,48.6,11.0,37.1,16.3,6.2
Mississippi,2020,68.5,51.5,14.9,17.8,47.5,11.9,36.8,13.9,11.1
Montana,2020,58.5,19.5,28.5,21.1,54.5,4.9,48.0,8.9,13.0
Nebraska,2020,52.5,34.0,12.3,19.8,43.2,8.0,32.1,22.8,13.0
Nevada,2020,62.9,30.3,19.2,20.8,62.8,12.2,50.8,19.3,8.4
New Hampshire,2020,93.3,85.2,2.2,13.2,30.6,15.9,15.1,4.6,3.8
New Jersey,2020,91.1,83.1,27.2,17.4,42.5,35.1,6.5,14.3,3.7
New Mexico,2020,74.0,42.2,31.4,40.6,61.0,17.2,45.7,12.9,4.0
North Carolina,2020,86.9,73.4,18.9,17.0,50.0,33.6,18.9,15.9,13.3
Ohio,2020,88.0,81.5,8.2,11.6,45.2,26.2,20.6,9.7,6.2
Oklahoma,2020,37.8,16.6,11.5,12.4,70.6,8.8,62.6,7.0,1.6
Oregon,2020,67.3,32.2,30.7,13.6,56.6,9.3,48.4,6.1,5.3
Overall,2020,82.8,69.8,17.6,18.6,48.0,25.0,23.4,13.9,9.4
Pennsylvania,2020,85.4,77.7,20.3,19.0,46.3,30.4,17.3,14.4,13.9
Rhode Island,2020,83.3,72.5,4.6,27.2,55.0,48.8,4.9,13.6,3.1
South Dakota,2020,55.6,30.2,6.3,20.6,47.6,6.3,39.7,1.6,6.3
Tennessee,2020,80.6,69.0,14.3,18.4,48.4,15.8,33.8,19.5,10.1
Utah,2020,72.9,20.9,29.5,32.5,52.1,8.6,40.1,25.7,20.7
Vermont,2020,87.6,78.0,24.9,20.9,46.3,39.5,7.3,3.4,6.8
Virginia,2020,87.7,76.8,26.4,22.6,46.8,29.2,18.1,10.3,4.7
West Virginia,2020,87.7,76.8,19.6,27.7,55.9,9.4,46.6,23.4,15.1
Alaska,2021,78.0,56.0,37.5,25.6,71.1,7.2,65.7,5.4,2.5
Arizona,2021,74.3,66.5,5.2,9.7,57.1,9.0,48.7,7.3,4.3
Arkansas,2021,70.5,55.8,4.0,21.8,56.3,13.1,43.9,22.3,1.4
Colorado,2021,75.9,56.9,13.6,22.1,59.6,19.9,42.5,9.6,7.6
Connecticut,2021,92.7,85.9,10.5,19.5,43.7,39.7,2.1,19.8,30.5
Delaware,2021,91.2,83.8,17.4,13.7,52.3,43.8,10.2,5.1,0.4
District of Columbia,2021,78.2,73.8,14.6,10.9,56.2,52.1,2.0,4.6,1.5
Georgia,2021,71.8,57.2,16.6,15.6,60.1,22.5,40.3,11.9,14.0
Hawaii,2021,30.1,17.2,10.2,8.6,78.5,6.6,72.3,7.4,1.6
Iowa,2021,59.8,49.8,13.0,14.0,52.8,7.8,44.3,12.5,5.0
Kansas,2021,64.0,50.4,7.6,16.2,56.8,12.5,47.0,10.8,6.1
Kentucky,2021,85.1,75.5,6.9,18.9,55.9,11.0,45.8,15.2,13.4
Maine,2021,90.0,79.6,4.3,24.9,52.1,25.7,28.0,13.7,24.5
Maryland,2021,91.3,85.3,7.3,16.6,42.8,37.7,3.5,8.1,22.1
Massachusetts,2021,89.8,84.6,7.1,18.0,56.7,51.3,5.7,22.2,5.4
Michigan,2021,84.4,76.1,9.0,13.2,49.3,33.9,17.0,8.3,8.2
Minnesota,2021,82.0,74.4,11.9,14.1,50.6,14.1,39.1,11.0,7.9
Nebraska,2021,59.6,46.8,2.1,17.0,43.6,11.2,33.5,17.6,9.0
Nevada,2021,58.4,33.3,15.9,18.1,65.0,9.5,55.9,14.9,7.3
New Hampshire,2021,89.8,82.9,1.4,9.3,23.8,9.5,15.0,4.0,3.8
New Jersey,2021,89.8,83.7,17.3,15.3,47.3,40.0,6.8,16.0,11.2
New Mexico,2021,74.8,59.8,21.1,26.0,64.9,13.3,53.8,10.8,3.1
North Carolina,2021,86.5,78.5,7.9,13.7,57.6,37.1,23.8,12.7,12.6
Ohio,2021,85.8,80.2,4.1,10.2,54.1,31.7,25.2,9.1,6.6
Oklahoma,2021,43.2,30.5,6.2,11.8,70.0,7.4,63.6,7.8,2.5
Oregon,2021,68.1,47.6,24.0,10.2,62.9,7.8,55.4,8.0,5.6
Overall,2021,81.8,72.5,10.8,15.7,54.4,27.9,27.8,12.2,10.8
Pennsylvania,2021,84.9,78.1,12.8,17.0,50.6,33.2,19.8,13.2,17.1
Rhode Island,2021,85.7,75.4,1.6,23.9,58.7,51.3,6.9,16.5,1.6
South Dakota,2021,42.7,32.9,2.4,12.2,61.0,6.1,56.1,4.9,3.7
Utah,2021,70.1,28.2,28.2,26.9,59.7,8.3,48.6,24.5,17.3
Vermont,2021,92.4,87.0,14.7,16.8,54.2,45.8,10.5,3.8,17.6
Virginia,2021,86.7,80.1,18.2,16.5,52.9,33.1,21.6,9.6,5.6
West Virginia,2021,85.5,79.0,7.8,20.3,65.4,11.0,54.3,19.1,19.3
Alaska,2022,74.2,62.5,23.0,16.8,68.8,12.5,56.3,10.2,2.0
Arizona,2022,75.3,69.0,2.8,8.5,61.0,8.7,53.7,6.5,3.6
Arkansas,2022,67.8,54.2,2.1,17.8,55.7,13.3,43.8,22.2,2.1
Colorado,2022,72.3,59.0,5.7,16.4,58.8,19.1,42.7,7.8,8.6
Connecticut,2022,92.1,85.7,8.8,18.4,46.4,42.8,1.5,17.1,33.9
Delaware,2022,91.4,86.9,12.1,9.5,54.1,44.0,12.3,2.8,0.2
District of Columbia,2022,77.6,74.6,10.5,9.8,59.0,55.1,2.2,4.7,3.1
Georgia,2022,73.9,62.7,8.8,14.0,59.5,24.9,37.2,8.6,17.4
Iowa,2022,54.9,50.3,9.6,8.6,60.9,11.5,51.6,8.6,6.0
Kansas,2022,65.9,55.8,3.4,12.6,57.0,13.3,46.1,13.5,7.0
Kentucky,2022,82.7,75.2,4.3,12.4,58.5,11.4,48.2,11.5,12.9
Maine,2022,90.5,82.0,3.5,22.1,57.9,31.1,29.8,13.0,21.6
Maryland,2022,88.9,82.3,3.5,13.2,45.7,41.4,4.1,4.1,15.1
Massachusetts,2022,89.3,84.1,4.3,17.0,58.0,53.0,5.9,18.3,8.4
Minnesota,2022,79.6,73.7,5.3,12.2,54.8,16.6,39.8,8.8,8.8
Mississippi,2022,73.1,63.4,3.9,11.0,53.7,13.0,43.3,10.7,6.2
Missouri,2022,75.9,71.5,2.8,8.4,49.8,15.8,36.8,4.8,9.0
Nebraska,2022,66.9,54.3,3.4,16.0,42.9,6.3,35.4,18.3,16.0
New Hampshire,2022,93.2,89.9,0.9,5.2,35.1,12.8,21.2,5.0,3.4
New Jersey,2022,90.7,85.4,13.2,12.3,52.4,43.2,9.7,11.5,12.1
North Carolina,2022,87.3,80.5,3.8,11.4,62.5,37.9,29.9,8.5,12.2
Ohio,2022,85.0,80.1,2.5,8.7,58.8,35.2,27.5,7.7,7.6
Oklahoma,2022,57.6,48.5,3.9,9.8,65.9,7.8,59.6,7.2,4.2
Oregon,2022,74.2,65.5,10.6,7.0,65.0,8.7,58.4,9.5,4.1
