state,year,Combo1_drugs,Combo1_deaths,Combo2_drugs,Combo2_deaths,Combo3_drugs,Combo3_deaths,Combo4_drugs,Combo4_deaths,Combo5_drugs,Combo5_deaths
Alaska,2020,Methamphetamine and other opioids or stimulants or both,22,Methamphetamine with no other stimulants or opioids,21,Illegally-made Fentanyls with no other opioids or stimulants,19,Prescription Opioids with no other opioids or stimulants,12,"Heroin, Prescription Opioids, and Methamphetamine",11
Arizona,2020,Illegally-made Fentanyls with no other opioids or stimulants,846,Methamphetamine with no other stimulants or opioids,400,Illegally-made Fentanyls and Methamphetamine,312,Prescription Opioids with no other opioids or stimulants,127,Illegally-made Fentanyls and Cocaine,103
Colorado,2020,Illegally-made Fentanyls with no other opioids or stimulants,214,Methamphetamine and other opioids or stimulants or both,180,Prescription Opioids with no other opioids or stimulants,119,Illegally-made Fentanyls and Cocaine,117,Illegally-made Fentanyls and Methamphetamine,78
Connecticut,2020,Illegally-made Fentanyls with no other opioids or stimulants,427,Illegally-made Fentanyls and Cocaine,275,Illegally-made Fentanyls and Prescription Opioids,120,Illegally-made Fentanyls and Heroin,105,"Illegally-made Fentanyls, Heroin, and Cocaine",72
Delaware,2020,Illegally-made Fentanyls with no other opioids or stimulants,115,Illegally-made Fentanyls and Cocaine,74,Illegally-made Fentanyls and Heroin,54,"Illegally-made Fentanyls, Heroin, and Cocaine",32,Illegally-made Fentanyls and other opioids or stimulants,28
District of Columbia,2020,Illegally-made Fentanyls with no other opioids or stimulants,147,Illegally-made Fentanyls and Cocaine,93,Illegally-made Fentanyls and Heroin,60,Cocaine with no other stimulants or opioids,38,"Illegally-made Fentanyls, Heroin, and Cocaine",35
Georgia,2020,Illegally-made Fentanyls with no other opioids or stimulants,222,Prescription Opioids with no other opioids or stimulants,214,Cocaine with no other stimulants or opioids,144,Methamphetamine with no other stimulants or opioids,142,Illegally-made Fentanyls and Heroin,114
Iowa,2020,Methamphetamine with no other stimulants or opioids,68,Illegally-made Fentanyls with no other opioids or stimulants,64,Methamphetamine and other opioids or stimulants or both,30,Illegally-made Fentanyls and Heroin,22,Illegally-made Fentanyls and Methamphetamine,22
Kansas,2020,Illegally-made Fentanyls with no other opioids or stimulants,90,Methamphetamine and other opioids or stimulants or both,83,Methamphetamine with no other stimulants or opioids,41,Prescription Opioids with no other opioids or stimulants,40,Illegally-made Fentanyls and Methamphetamine,25
Kentucky,2020,Illegally-made Fentanyls with no other opioids or stimulants,614,Illegally-made Fentanyls and Methamphetamine,379,Prescription Opioids with no other opioids or stimulants,152,Methamphetamine with no other stimulants or opioids,138,Illegally-made Fentanyls and Prescription Opioids,117
Maine,2020,Illegally-made Fentanyls with no other opioids or stimulants,129,Illegally-made Fentanyls and Cocaine,62,Illegally-made Fentanyls and Methamphetamine,44,Prescription Opioids with no other opioids or stimulants,40,Illegally-made Fentanyls and Prescription Opioids,22
Maryland,2020,Illegally-made Fentanyls with no other opioids or stimulants,1043,Illegally-made Fentanyls and Cocaine,612,Illegally-made Fentanyls and Heroin,167,Illegally-made Fentanyls and Prescription Opioids,166,Prescription Opioids with no other opioids or stimulants,139
Massachusetts,2020,Illegally-made Fentanyls with no other opioids or stimulants,746,Illegally-made Fentanyls and Cocaine,632,Illegally-made Fentanyls and Prescription Opioids,156,Cocaine with no other stimulants or opioids,124,Illegally-made Fentanyls and Heroin,108
Michigan,2020,Illegally-made Fentanyls with no other opioids or stimulants,751,Illegally-made Fentanyls and Cocaine,459,Illegally-made Fentanyls and Heroin,278,Prescription Opioids with no other opioids or stimulants,195,Cocaine with no other stimulants or opioids,153
Minnesota,2020,Illegally-made Fentanyls with no other opioids or stimulants,224,Methamphetamine with no other stimulants or opioids,124,Illegally-made Fentanyls and Methamphetamine,109,Illegally-made Fentanyls and Heroin,73,Prescription Opioids with no other opioids or stimulants,71
Mississippi,2020,Illegally-made Fentanyls with no other opioids or stimulants,100,Illegally-made Fentanyls and Methamphetamine,58,Methamphetamine and other opioids or stimulants or both,47,Prescription Opioids with no other opioids or stimulants,47,Methamphetamine with no other stimulants or opioids,24
Montana,2020,Methamphetamine with no other stimulants or opioids,28,Prescription Opioids with no other opioids or stimulants,18,Heroin and Methamphetamine,14,Heroin with no other opioids or stimulants,11,Illegally-made Fentanyls with no other opioids or stimulants,8
Nebraska,2020,Illegally-made Fentanyls with no other opioids or stimulants,25,Methamphetamine with no other stimulants or opioids,21,Prescription Opioids with no other opioids or stimulants,16,Methamphetamine and other opioids or stimulants or both,12,Illegally-made Fentanyls and Heroin,8
Nevada,2020,Methamphetamine with no other stimulants or opioids,253,Illegally-made Fentanyls with no other opioids or stimulants,117,Prescription Opioids with no other opioids or stimulants,98,Heroin and Methamphetamine,95,Illegally-made Fentanyls and Prescription Opioids,44
New Hampshire,2020,Illegally-made Fentanyls with no other opioids or stimulants,211,Illegally-made Fentanyls and Methamphetamine,37,Illegally-made Fentanyls and Cocaine,36,Prescription Opioids with no other opioids or stimulants,23,Illegally-made Fentanyls and Prescription Opioids,13
New Jersey,2020,Illegally-made Fentanyls with no other opioids or stimulants,805,Illegally-made Fentanyls and Cocaine,477,Illegally-made Fentanyls and Heroin,388,"Illegally-made Fentanyls, Heroin, and Cocaine",209,Illegally-made Fentanyls and Prescription Opioids,173
New Mexico,2020,Methamphetamine and other opioids or stimulants or both,101,Illegally-made Fentanyls with no other opioids or stimulants,76,Prescription Opioids with no other opioids or stimulants,51,"Heroin, Prescription Opioids, and Methamphetamine",44,Heroin and Prescription Opioids,39
North Carolina,2020,Illegally-made Fentanyls with no other opioids or stimulants,806,Illegally-made Fentanyls and Cocaine,494,Illegally-made Fentanyls and Methamphetamine,229,Illegally-made Fentanyls and Heroin,212,Prescription Opioids with no other opioids or stimulants,197
Ohio,2020,Illegally-made Fentanyls with no other opioids or stimulants,2005,Illegally-made Fentanyls and Cocaine,772,Illegally-made Fentanyls and Methamphetamine,596,Cocaine with no other stimulants or opioids,210,Illegally-made Fentanyls and Prescription Opioids,205
Oklahoma,2020,Methamphetamine with no other stimulants or opioids,383,Prescription Opioids with no other opioids or stimulants,63,Illegally-made Fentanyls with no other opioids or stimulants,59,Heroin and Methamphetamine,39,Cocaine with no other stimulants or opioids,36
Oregon,2020,Methamphetamine with no other stimulants or opioids,158,Illegally-made Fentanyls with no other opioids or stimulants,129,Heroin and Methamphetamine,92,Heroin with no other opioids or stimulants,66,Prescription Opioids with no other opioids or stimulants,40
Overall,2020,Illegally-made Fentanyls with no other opioids or stimulants,13105,Illegally-made Fentanyls and Cocaine,5985,Illegally-made Fentanyls and Methamphetamine,3665,Prescription Opioids with no other opioids or stimulants,2942,Illegally-made Fentanyls and Heroin,2801
Pennsylvania,2020,Illegally-made Fentanyls with no other opioids or stimulants,1365,Illegally-made Fentanyls and Cocaine,738,Illegally-made Fentanyls and Heroin,397,Illegally-made Fentanyls and Methamphetamine,354,Illegally-made Fentanyls and Prescription Opioids,286
Rhode Island,2020,Illegally-made Fentanyls and Cocaine,111,Illegally-made Fentanyls with no other opioids or stimulants,87,Cocaine with no other stimulants or opioids,41,Illegally-made Fentanyls and Prescription Opioids,33,Prescription Opioids with no other opioids or stimulants,30
South Dakota,2020,Methamphetamine with no other stimulants or opioids,19,Illegally-made Fentanyls with no other opioids or stimulants,13,Prescription Opioids with no other opioids or stimulants,12,Illegally-made Fentanyls and Methamphetamine,3,Cocaine with no other stimulants or opioids,2
Tennessee,2020,Illegally-made Fentanyls with no other opioids or stimulants,743,Illegally-made Fentanyls and Methamphetamine,429,Methamphetamine with no other stimulants or opioids,249,Illegally-made Fentanyls and Cocaine,202,Prescription Opioids with no other opioids or stimulants,174
Utah,2020,Prescription Opioids with no other opioids or stimulants,102,Methamphetamine with no other stimulants or opioids,88,Heroin and Methamphetamine,66,Heroin with no other opioids or stimulants,46,Illegally-made Fentanyls with no other opioids or stimulants,39
Vermont,2020,Illegally-made Fentanyls with no other opioids or stimulants,37,Illegally-made Fentanyls and Cocaine,29,Illegally-made Fentanyls and Heroin,26,Cocaine with no other stimulants or opioids,12,"Illegally-made Fentanyls, Heroin, and Cocaine",9
Virginia,2020,Illegally-made Fentanyls with no other opioids or stimulants,544,Illegally-made Fentanyls and Cocaine,277,Illegally-made Fentanyls and Heroin,207,Prescription Opioids with no other opioids or stimulants,139,Illegally-made Fentanyls and Methamphetamine,131
West Virginia,2020,Illegally-made Fentanyls with no other opioids or stimulants,285,Illegally-made Fentanyls and Methamphetamine,266,Methamphetamine and other opioids or stimulants or both,102,Illegally-made Fentanyls and Prescription Opioids,78,Illegally-made Fentanyls and Heroin,75
Alaska,2021,"Illegally-made Fentanyls, Heroin, and Methamphetamine",41,Illegally-made Fentanyls and Methamphetamine,33,Methamphetamine and other opioids or stimulants or both,25,Illegally-made Fentanyls with no other opioids or stimulants,24,Methamphetamine with no other stimulants or opioids,24
Arizona,2021,Illegally-made Fentanyls with no other opioids or stimulants,852,Illegally-made Fentanyls and Methamphetamine,589,Methamphetamine with no other stimulants or opioids,507,Illegally-made Fentanyls and Cocaine,135,Prescription Opioids with no other opioids or stimulants,91
Arkansas,2021,Illegally-made Fentanyls with no other opioids or stimulants,109,Illegally-made Fentanyls and Methamphetamine,83,Methamphetamine with no other stimulants or opioids,66,Prescription Opioids with no other opioids or stimulants,43,Methamphetamine and other opioids or stimulants or both,34
Colorado,2021,Illegally-made Fentanyls with no other opioids or stimulants,405,Methamphetamine and other opioids or stimulants or both,221,Illegally-made Fentanyls and Methamphetamine,206,Illegally-made Fentanyls and Cocaine,138,Prescription Opioids with no other opioids or stimulants,100
Connecticut,2021,Illegally-made Fentanyls with no other opioids or stimulants,535,Illegally-made Fentanyls and Cocaine,390,Illegally-made Fentanyls and Prescription Opioids,124,Illegally-made Fentanyls and Heroin,79,Cocaine with no other stimulants or opioids,69
Delaware,2021,Illegally-made Fentanyls with no other opioids or stimulants,141,Illegally-made Fentanyls and Cocaine,134,Illegally-made Fentanyls and Heroin,38,Cocaine with no other stimulants or opioids,27,"Illegally-made Fentanyls, Heroin, and Cocaine",26
District of Columbia,2021,Illegally-made Fentanyls and Cocaine,150,Illegally-made Fentanyls with no other opioids or stimulants,129,Cocaine with no other stimulants or opioids,84,Illegally-made Fentanyls and Heroin,42,"Illegally-made Fentanyls, Heroin, and Cocaine",19
Georgia,2021,Illegally-made Fentanyls with no other opioids or stimulants,426,Illegally-made Fentanyls and Methamphetamine,287,Methamphetamine with no other stimulants or opioids,187,Illegally-made Fentanyls and Cocaine,173,Cocaine with no other stimulants or opioids,168
Hawaii,2021,Methamphetamine with no other stimulants or opioids,153,Illegally-made Fentanyls and Methamphetamine,12,Illegally-made Fentanyls with no other opioids or stimulants,12,Prescription Opioids with no other opioids or stimulants,11,Heroin with no other opioids or stimulants,9
Iowa,2021,Methamphetamine with no other stimulants or opioids,109,Illegally-made Fentanyls with no other opioids or stimulants,86,Illegally-made Fentanyls and Methamphetamine,34,Prescription Opioids with no other opioids or stimulants,27,Illegally-made Fentanyls and Heroin,20
Kansas,2021,Illegally-made Fentanyls with no other opioids or stimulants,152,Methamphetamine with no other stimulants or opioids,113,Illegally-made Fentanyls and Methamphetamine,78,Methamphetamine and other opioids or stimulants or both,57,Prescription Opioids with no other opioids or stimulants,55
Kentucky,2021,Illegally-made Fentanyls with no other opioids or stimulants,605,Illegally-made Fentanyls and Methamphetamine,565,Methamphetamine with no other stimulants or opioids,149,Prescription Opioids with no other opioids or stimulants,131,Illegally-made Fentanyls and Cocaine,128
Maine,2021,Illegally-made Fentanyls with no other opioids or stimulants,184,Illegally-made Fentanyls and Methamphetamine,80,Illegally-made Fentanyls and Cocaine,75,Illegally-made Fentanyls and Prescription Opioids,42,Prescription Opioids with no other opioids or stimulants,33
Maryland,2021,Illegally-made Fentanyls with no other opioids or stimulants,1025,Illegally-made Fentanyls and Cocaine,744,Illegally-made Fentanyls and Prescription Opioids,188,Prescription Opioids with no other opioids or stimulants,117,Cocaine with no other stimulants or opioids,105
Massachusetts,2021,Illegally-made Fentanyls and Cocaine,827,Illegally-made Fentanyls with no other opioids or stimulants,737,Cocaine with no other stimulants or opioids,171,Illegally-made Fentanyls and Prescription Opioids,150,"Illegally-made Fentanyls, Prescription Opioids, and Cocaine",126
Michigan,2021,Illegally-made Fentanyls with no other opioids or stimulants,925,Illegally-made Fentanyls and Cocaine,616,Illegally-made Fentanyls and Methamphetamine,245,Cocaine with no other stimulants or opioids,188,Prescription Opioids with no other opioids or stimulants,161
