state,year,jan_deaths,feb_deaths,mar_deaths,apr_deaths,may_deaths,jun_deaths,jul_deaths,aug_deaths,sep_deaths,oct_deaths,nov_deaths,dec_deaths
Alaska,2020,12,10,8,14,19,18,16,13,15,11,18,17
Arizona,2020,172,153,183,166,218,268,316,281,182,182,171,120
Colorado,2020,94,83,109,127,141,97,123,143,109,91,107,105
Connecticut,2020,106,91,106,133,121,121,137,98,124,102,111,124
Delaware,2020,36,41,35,41,55,45,40,41,35,27,23,27
District of Columbia,2020,49,38,36,58,53,43,35,54,41,36,36,36
Georgia,2020,108,130,152,183,182,176,180,147,130,137,142,143
Iowa,2020,17,32,29,35,28,31,26,23,36,28,31,25
Kansas,2020,40,32,30,30,44,41,49,39,25,36,25,39
Kentucky,2020,113,136,150,173,249,159,190,172,164,167,172,201
Maine,2020,39,37,40,34,41,50,43,36,36,31,41,43
Maryland,2020,184,202,234,191,269,229,227,242,242,266,221,211
Massachusetts,2020,166,197,199,204,228,205,212,178,176,204,182,189
Michigan,2020,184,198,233,233,334,277,259,226,220,239,193,214
Minnesota,2020,57,53,76,86,105,77,79,102,74,82,80,85
Mississippi,2020,28,32,36,37,54,49,44,55,36,41,38,45
Montana,2020,10,8,11,18,9,5,11,12,10,8,12,9
Nebraska,2020,11,11,16,19,15,13,10,17,18,13,4,15
Nevada,2020,56,52,58,84,95,66,95,114,61,83,73,80
New Hampshire,2020,32,31,35,36,41,23,38,20,34,23,28,31
New Jersey,2020,251,235,244,232,293,254,231,246,225,202,242,226
New Mexico,2020,51,45,44,53,64,71,64,72,61,43,36,24
North Carolina,2020,194,215,230,270,364,268,276,280,240,248,269,253
Ohio,2020,347,351,366,411,578,521,484,392,423,434,402,445
Oklahoma,2020,42,49,69,77,76,61,73,73,51,85,61,71
Oregon,2020,48,40,54,60,88,53,57,65,56,52,70,58
Overall,2020,3348,3302,3738,4123,5078,4355,4513,4259,3890,3904,3822,3900
Pennsylvania,2020,388,360,415,464,477,459,494,446,432,395,418,420
Rhode Island,2020,32,33,31,35,38,28,39,38,34,29,22,30
South Dakota,2020,3,6,9,5,6,10,3,4,5,1,4,7
Tennessee,2020,192,166,240,241,328,286,272,263,239,268,236,240
Utah,2020,42,34,31,48,40,42,69,59,37,49,42,43
Vermont,2020,12,8,9,18,18,11,15,18,12,16,19,21
Virginia,2020,147,128,141,197,237,167,201,190,183,181,171,180
West Virginia,2020,85,65,79,110,170,131,105,100,124,94,122,123
Alaska,2021,14,14,29,19,35,22,23,24,18,29,30,20
Arizona,2021,206,179,218,212,252,244,277,273,223,208,182,213
Arkansas,2021,43,43,50,49,60,45,34,51,46,41,45,49
Colorado,2021,140,112,151,139,158,157,147,159,160,129,130,130
Connecticut,2021,129,114,122,120,138,125,145,146,137,110,124,120
Delaware,2021,42,39,50,41,48,46,33,41,31,46,40,54
District of Columbia,2021,49,38,42,37,56,47,53,43,46,32,45,53
Georgia,2021,170,189,206,224,235,179,172,182,200,205,181,228
Hawaii,2021,14,26,18,9,23,22,37,17,16,31,21,22
Iowa,2021,29,29,35,39,41,33,38,33,22,27,25,49
Kansas,2021,53,48,69,62,44,57,60,74,63,52,42,49
Kentucky,2021,195,169,197,215,198,190,187,197,207,193,165,176
Maine,2021,53,39,56,44,46,54,44,46,54,61,59,51
Maryland,2021,255,211,237,239,250,249,249,200,211,219,193,241
Massachusetts,2021,198,194,235,227,190,206,216,229,216,222,194,214
Michigan,2021,254,209,285,282,263,251,239,260,232,224,230,233
Minnesota,2021,99,90,115,100,104,79,113,126,94,101,107,112
Nebraska,2021,13,16,21,18,14,16,12,30,15,11,9,13
Nevada,2021,83,83,74,84,77,90,137,68,68,51,66,52
New Hampshire,2021,27,25,36,33,39,38,33,37,42,38,24,49
New Jersey,2021,270,251,272,256,236,285,257,267,266,272,229,233
New Mexico,2021,63,71,76,96,97,89,101,98,77,68,73,68
North Carolina,2021,314,281,348,325,331,317,349,315,297,311,301,358
Ohio,2021,460,392,498,500,469,411,491,452,456,447,412,423
Oklahoma,2021,73,55,85,73,81,89,77,109,91,93,93,95
Oregon,2021,95,60,81,103,106,98,96,94,97,94,79,80
Overall,2021,4248,3798,4545,4503,4559,4285,4555,4467,4275,4184,3929,4205
Pennsylvania,2021,434,432,448,430,535,442,507,440,449,426,384,409
Rhode Island,2021,36,38,32,39,44,26,29,43,36,44,47,34
South Dakota,2021,6,8,4,9,2,9,6,8,8,9,7,6
Utah,2021,48,41,42,63,49,49,56,45,44,50,50,51
Vermont,2021,17,12,28,19,15,17,25,16,25,21,24,19
Virginia,2021,228,179,245,238,200,197,197,213,225,208,197,201
West Virginia,2021,138,111,140,159,123,106,115,131,103,111,121,100
Alaska,2022,15,20,27,16,20,29,22,23,15,19,20,30
Arizona,2022,187,170,204,184,206,239,360,232,209,206,196,210
Arkansas,2022,49,37,64,39,47,38,49,46,28,50,45,36
Colorado,2022,156,139,121,126,151,115,137,140,132,132,152,161
Connecticut,2022,109,107,127,126,119,121,116,119,130,143,132,115
Delaware,2022,46,41,41,41,57,49,36,51,46,37,42,49
District of Columbia,2022,50,51,39,44,49,53,44,52,49,55,51,53
Georgia,2022,226,201,214,226,215,214,226,214,230,198,210,181
Iowa,2022,34,40,39,29,26,33,22,36,24,39,37,25
Kansas,2022,62,57,71,63,54,60,70,61,62,47,68,64
Kentucky,2022,178,179,182,171,181,196,193,193,151,205,204,179
Maine,2022,42,46,60,57,41,64,62,60,55,60,64,71
Maryland,2022,230,210,222,188,188,204,208,194,182,208,242,241
Massachusetts,2022,207,218,221,215,201,223,241,209,213,249,211,220
Minnesota,2022,117,87,108,85,112,106,104,117,98,119,112,126
Mississippi,2022,58,43,71,45,70,47,47,53,64,62,41,60
Missouri,2022,182,146,162,174,182,154,181,178,180,167,155,176
Nebraska,2022,5,16,15,11,18,22,16,14,13,15,12,18
New Hampshire,2022,46,33,38,36,29,42,40,35,37,37,37,34
New Jersey,2022,292,235,266,247,247,246,237,268,266,271,231,258
North Carolina,2022,308,322,347,354,341,354,297,353,346,326,329,325
