state,year,aian_nh_deaths,asian_nh_deaths,black_nh_deaths,multi_nh_deaths,nhpi_nh_deaths,white_nh_deaths,hisp_deaths
Alaska,2020,46,4,11,16,0,87,3
Arizona,2020,131,6,198,11,2,1339,704
Colorado,2020,16,11,98,18,1,836,337
Connecticut,2020,5,6,190,4,0,933,228
Delaware,2020,0,3,87,0,0,333,23
District of Columbia,2020,0,3,441,2,0,39,28
Georgia,2020,1,14,439,5,1,1299,50
Iowa,2020,1,1,28,2,1,296,12
Kansas,2020,8,4,45,9,2,317,34
Kentucky,2020,0,0,192,0,6,1818,27
Maine,2020,7,0,14,1,1,419,8
Maryland,2020,10,18,1045,20,1,1508,110
Massachusetts,2020,6,17,222,10,1,1721,342
Michigan,2020,16,9,677,43,1,1909,153
Minnesota,2020,100,7,176,24,0,603,44
Mississippi,2020,3,1,93,1,0,381,13
Montana,2020,18,1,2,3,0,95,4
Nebraska,2020,0,2,18,1,0,126,10
Nevada,2020,10,16,127,16,4,560,165
New Hampshire,2020,0,1,9,0,0,354,8
New Jersey,2020,3,24,646,19,1,1704,460
New Mexico,2020,40,1,29,0,1,206,349
North Carolina,2020,97,12,592,16,1,2273,115
Ohio,2020,5,17,869,30,1,4063,167
Oklahoma,2020,70,2,85,40,2,548,40
Oregon,2020,16,5,34,17,2,553,68
Overall,2020,649,240,8575,385,35,33860,4218
Pennsylvania,2020,6,29,968,31,0,3654,434
Rhode Island,2020,1,1,35,0,0,297,54
South Dakota,2020,17,0,5,0,0,37,4
Tennessee,2020,4,8,552,12,0,2311,80
Utah,2020,10,2,11,8,5,437,49
Vermont,2020,0,0,5,2,0,168,2
Virginia,2020,1,12,555,18,1,1438,82
West Virginia,2020,1,3,77,6,0,1198,11
Alaska,2021,82,3,6,27,0,152,6
Arizona,2021,164,6,210,27,2,1459,794
Arkansas,2021,2,2,88,0,0,433,7
Colorado,2021,37,3,117,10,2,1075,456
Connecticut,2021,2,12,273,2,0,964,270
Delaware,2021,0,1,121,0,0,350,39
District of Columbia,2021,0,4,468,0,0,53,14
Georgia,2021,4,12,611,11,1,1622,105
Hawaii,2021,1,42,0,79,29,55,32
Iowa,2021,1,3,49,1,1,331,13
Kansas,2021,7,3,73,20,1,482,59
Kentucky,2021,3,0,237,0,5,2006,32
Maine,2021,13,1,14,2,0,549,12
Maryland,2021,6,17,1200,14,2,1396,110
Massachusetts,2021,12,11,240,14,0,1875,371
Michigan,2021,16,16,807,25,0,1941,156
Minnesota,2021,125,17,253,52,0,720,72
Nebraska,2021,1,1,32,1,0,142,11
Nevada,2021,8,11,129,11,9,569,177
New Hampshire,2021,2,2,9,2,0,393,8
New Jersey,2021,1,27,837,19,0,1672,519
New Mexico,2021,70,3,33,2,0,313,549
North Carolina,2021,111,10,853,26,1,2675,169
Ohio,2021,3,19,1034,30,2,4152,170
Oklahoma,2021,126,2,130,68,1,642,45
Oregon,2021,25,10,47,31,3,869,83
Overall,2021,869,282,9802,535,63,34660,5015
Pennsylvania,2021,3,24,1045,27,2,3748,458
Rhode Island,2021,1,5,37,1,1,330,68
South Dakota,2021,22,1,4,0,0,52,3
Utah,2021,12,1,13,8,1,473,75
Vermont,2021,1,0,4,4,0,220,9
Virginia,2021,7,13,732,18,0,1624,111
West Virginia,2021,1,0,96,3,0,1323,12
Alaska,2022,83,0,9,33,0,119,9
Arizona,2022,202,3,198,29,1,1404,757
Arkansas,2022,3,2,91,1,1,415,15
Colorado,2022,30,14,132,22,1,1012,444
Connecticut,2022,5,7,276,12,0,846,309
Delaware,2022,0,3,156,0,0,345,30
District of Columbia,2022,0,3,502,3,1,59,22
Georgia,2022,5,20,749,5,2,1667,98
Iowa,2022,3,3,49,7,0,297,25
Kansas,2022,10,5,83,30,1,507,78
Kentucky,2022,3,0,266,0,3,1873,51
Maine,2022,12,2,17,5,0,621,7
Maryland,2022,7,17,1069,12,0,1269,137
Massachusetts,2022,5,21,322,20,0,1791,437
Minnesota,2022,146,17,284,50,0,711,82
Mississippi,2022,1,4,130,3,1,513,9
Missouri,2022,3,8,543,25,0,1394,53
Nebraska,2022,0,4,36,2,1,120,12
New Hampshire,2022,0,1,19,2,0,400,16
New Jersey,2022,2,23,874,21,0,1567,559
North Carolina,2022,112,15,958,29,2,2690,193
Ohio,2022,15,18,1100,17,0,3794,187
Oklahoma,2022,160,2,149,67,1,837,81
Oregon,2022,38,10,73,38,4,994,111
Overall,2022,880,260,10988,510,24,33826,4646
Pennsylvania,2022,9,22,1188,27,1,3328,498
Rhode Island,2022,1,8,37,7,0,291,87
Tennessee,2022,5,9,839,21,0,2782,134
Utah,2022,14,5,14,11,4,457,70
Vermont,2022,0,0,5,3,0,242,9
Virginia,2022,6,14,820,8,0,1481,126
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
