state,year,male_under15_deaths,male_15_24_deaths,male_25_34_deaths,male_35_44_deaths,male_45_54_deaths,male_55_64_deaths,male_65plus_deaths,female_under15_deaths,female_15_24_deaths,female_25_34_deaths,female_35_44_deaths,female_45_54_deaths,female_55_64_deaths,female_65plus_deaths
Alaska,2020,0,15,27,25,20,20,4,0,4,12,18,16,8,2
Arizona,2020,9,299,487,352,325,234,65,7,69,161,147,115,105,36
Colorado,2020,2,110,258,239,149,152,34,1,43,86,93,80,59,23
Connecticut,2020,1,60,242,262,218,202,47,0,22,64,89,80,74,13
Delaware,2020,0,14,72,85,64,58,12,0,11,23,46,21,36,4
District of Columbia,2020,0,15,43,57,82,120,52,0,4,24,14,38,56,10
Georgia,2020,2,92,304,338,222,182,58,0,34,123,158,141,121,35
Iowa,2020,0,22,52,54,43,43,9,1,9,28,21,30,25,4
Kansas,2020,4,47,68,47,47,58,13,1,15,24,39,32,29,6
Kentucky,2020,0,94,328,468,271,218,49,3,41,155,150,149,92,28
Maine,2020,1,23,74,101,80,48,10,0,7,22,43,29,28,5
Maryland,2020,3,108,441,395,463,444,106,0,27,190,181,171,158,31
Massachusetts,2020,0,71,403,512,357,299,67,0,37,162,184,131,95,22
Michigan,2020,1,123,472,483,384,351,117,3,49,201,242,179,160,45
Minnesota,2020,2,82,199,121,127,95,20,0,39,76,79,59,50,7
Mississippi,2020,0,27,78,100,60,42,10,0,6,44,43,43,33,9
Montana,2020,0,8,17,25,18,19,4,0,1,7,13,5,4,2
Nebraska,2020,1,18,28,23,13,23,0,1,4,10,13,9,14,5
Nevada,2020,1,87,138,119,125,110,60,1,27,41,56,65,69,18
New Hampshire,2020,0,14,64,81,60,37,7,1,7,32,26,25,14,4
New Jersey,2020,0,109,523,512,516,392,101,1,35,162,162,176,150,41
New Mexico,2020,0,27,117,123,67,76,26,0,12,53,53,39,26,9
North Carolina,2020,2,192,651,573,407,261,63,3,86,244,270,207,119,29
Ohio,2020,7,219,929,975,725,529,144,3,109,428,440,359,240,47
Oklahoma,2020,2,25,91,107,122,124,42,0,19,52,56,66,64,18
Oregon,2020,1,57,117,99,95,76,41,0,16,39,55,58,32,15
Overall,2020,51,2494,8433,8743,6946,5562,1498,33,990,3422,3748,3195,2509,606
Pennsylvania,2020,6,199,924,989,743,597,161,3,87,380,423,342,258,56
Rhode Island,2020,0,16,61,69,71,59,14,0,6,23,28,23,14,5
South Dakota,2020,0,9,8,11,8,4,0,0,2,4,10,3,4,0
Tennessee,2020,2,135,492,561,439,284,62,1,79,240,245,223,163,45
Utah,2020,1,27,82,103,53,48,17,0,11,36,64,45,38,11
Vermont,2020,0,6,35,28,35,17,4,0,2,14,13,14,9,0
Virginia,2020,1,120,382,418,314,199,47,2,48,165,166,135,112,14
West Virginia,2020,2,24,226,288,223,141,32,1,22,97,108,87,50,7
Alaska,2021,0,20,41,40,38,21,10,0,5,33,27,22,15,5
Arizona,2021,8,209,560,463,341,292,97,6,77,165,159,139,140,28
Arkansas,2021,1,20,117,99,63,45,16,1,11,55,45,40,33,10
Colorado,2021,4,131,363,286,208,157,60,4,52,89,144,98,86,30
