state,year,male_deaths,female_deaths
Alaska,2020,111,60
Arizona,2020,1771,641
Colorado,2020,944,385
Connecticut,2020,1032,342
Delaware,2020,305,141
District of Columbia,2020,369,146
Georgia,2020,1198,612
Iowa,2020,223,118
Kansas,2020,284,146
Kentucky,2020,1428,618
Maine,2020,337,134
Maryland,2020,1960,758
Massachusetts,2020,1709,631
Michigan,2020,1931,879
Minnesota,2020,646,310
Mississippi,2020,317,178
Montana,2020,91,32
Nebraska,2020,106,56
Nevada,2020,640,277
New Hampshire,2020,263,109
New Jersey,2020,2154,727
New Mexico,2020,436,192
North Carolina,2020,2149,958
Ohio,2020,3528,1626
Oklahoma,2020,513,275
Oregon,2020,486,215
Overall,2020,33728,14504
Pennsylvania,2020,3619,1549
Rhode Island,2020,290,99
South Dakota,2020,40,23
Tennessee,2020,1975,996
Utah,2020,331,205
Vermont,2020,125,52
Virginia,2020,1481,642
West Virginia,2020,936,372
Alaska,2021,170,107
Arizona,2021,1973,714
Arkansas,2021,361,195
Colorado,2021,1209,503
Connecticut,2021,1116,414
Delaware,2021,348,163
District of Columbia,2021,391,150
Georgia,2021,1628,743
Hawaii,2021,194,62
Iowa,2021,259,141
Kansas,2021,454,219
Kentucky,2021,1558,731
Maine,2021,438,169
Maryland,2021,1987,767
Massachusetts,2021,1860,681
Michigan,2021,2025,937
Minnesota,2021,861,379
Nebraska,2021,116,72
Nevada,2021,660,273
New Hampshire,2021,287,134
New Jersey,2021,2264,830
New Mexico,2021,689,288
North Carolina,2021,2686,1161
Ohio,2021,3764,1647
Oklahoma,2021,686,328
Oregon,2021,774,309
Overall,2021,36221,15332
Pennsylvania,2021,3734,1602
Rhode Island,2021,304,144
South Dakota,2021,48,34
Utah,2021,380,208
Vermont,2021,166,72
Virginia,2021,1796,732
West Virginia,2021,1035,423
Alaska,2022,164,92
Arizona,2022,2003,600
Arkansas,2022,328,200
Colorado,2022,1163,499
Connecticut,2022,1077,387
Delaware,2022,380,156
District of Columbia,2022,426,164
Georgia,2022,1763,792
Iowa,2022,272,112
Kansas,2022,501,238
Kentucky,2022,1492,720
Maine,2022,505,177
Maryland,2022,1773,743
Massachusetts,2022,1911,717
Minnesota,2022,928,363
Mississippi,2022,448,213
Missouri,2022,1402,635
Nebraska,2022,109,66
New Hampshire,2022,319,125
New Jersey,2022,2296,768
North Carolina,2022,2789,1213
Ohio,2022,3521,1616
Oklahoma,2022,881,417
Oregon,2022,936,352
Overall,2022,36237,15197
Pennsylvania,2022,3586,1544
Rhode Island,2022,310,123
Tennessee,2022,2630,1171
Utah,2022,364,213
Vermont,2022,177,82
Virginia,2022,1783,699
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
