fips,year,count_alldrug,population
02013,2018,0,3391
02013,2019,0,3355
02013,2020,0,3425
02013,2021,0,3424
02013,2022,0,3398
02016,2018,0,5678
02016,2019,0,5702
02016,2020,0,5222
02016,2021,0,5155
02016,2022,0,5122
02020,2018,419,291377
02020,2019,392,288790
02020,2020,393,290866
02020,2021,512,288702
02020,2022,465,287145
02050,2018,21,18267
02050,2019,30,18493
02050,2020,17,18673
02050,2021,33,18599
02050,2022,34,18257
02060,2018,0,881
02060,2019,0,840
02060,2020,0,829
02060,2021,0,841
02060,2022,0,865
02063,2021,0,6943
02063,2022,0,6874
02066,2021,0,2611
02066,2022,0,2589
02068,2018,0,2047
02068,2019,0,2125
02068,2020,0,1614
02068,2021,0,1594
02068,2022,0,1585
02070,2018,0,5003
02070,2019,0,4932
02070,2020,0,4835
02070,2021,10,4774
02070,2022,10,4723
02090,2018,50,98749
02090,2019,67,97088
02090,2020,78,95328
02090,2021,70,95528
02090,2022,81,95356
02100,2018,0,2502
02100,2019,0,2561
02100,2020,0,2086
02100,2021,0,2074
02100,2022,0,2056
02105,2018,0,2139
02105,2019,0,2144
02105,2020,0,2362
02105,2021,0,2339
02105,2022,0,2287
02110,2018,41,32044
02110,2019,47,32038
02110,2020,43,32202
02110,2021,66,31965
02110,2022,55,31685
02122,2018,67,58609
02122,2019,57,58914
02122,2020,65,58927
02122,2021,63,59851
02122,2022,46,60690
02130,2018,16,13881
02130,2019,13,13905
02130,2020,13,13918
02130,2021,20,13810
02130,2022,17,13741
02150,2018,0,13389
02150,2019,11,13209
02150,2020,0,13047
02150,2021,0,12864
02150,2022,0,12720
02158,2018,0,8349
02158,2019,0,8384
02158,2020,0,8373
02158,2021,0,8398
02158,2022,10,8278
02164,2018,0,1586
02164,2019,0,1583
02164,2020,0,1452
02164,2021,0,1419
02164,2022,0,1381
02170,2018,88,107325
02170,2019,96,108578
02170,2020,112,107515
02170,2021,74,111059
02170,2022,83,113325
02180,2018,11,10073
02180,2019,11,10040
02180,2020,0,10028
02180,2021,0,9908
02180,2022,15,9835
02185,2018,18,9455
02185,2019,0,9433
02185,2020,18,11002
02185,2021,10,11011
02185,2022,19,10805
02188,2018,21,7715
02188,2019,12,7673
02188,2020,0,7790
02188,2021,0,7560
02188,2022,0,7423
02195,2018,0,3256
02195,2019,0,3294
02195,2020,0,3405
02195,2021,0,3373
02195,2022,0,3360
02198,2018,0,6372
02198,2019,0,6211
02198,2020,0,5739
02198,2021,0,5734
02198,2022,0,5650
02220,2018,0,8555
02220,2019,0,8501
02220,2020,0,8425
02220,2021,14,8410
02220,2022,0,8382
02230,2018,0,1172
02230,2019,0,1193
02230,2020,0,1240
02230,2021,0,1142
02230,2022,0,1081
02240,2018,0,6946
02240,2019,0,6879
02240,2020,0,6820
02240,2021,0,7005
02240,2022,0,7021
02261,2018,15,9367
02261,2019,0,9395
02261,2020,13,9693
02275,2018,0,2521
02275,2019,0,2513
02275,2020,0,2127
02275,2021,0,2100
02275,2022,0,2070
02282,2018,0,600
02282,2019,0,576
02282,2020,0,684
02282,2021,0,709
02282,2022,0,700
02290,2018,0,5375
02290,2019,0,5254
02290,2020,0,5296
02290,2021,0,5280
02290,2022,0,5179
06001,2018,1338,1666596
06001,2019,1297,1668412
06001,2020,1369,1680380
06001,2021,1296,1643837
06001,2022,1300,1628997
06003,2018,0,1081
06003,2019,0,1113
06003,2020,0,1204
06003,2021,0,1235
06003,2022,0,1190
06005,2018,75,39349
06005,2019,92,39693
06005,2020,61,40532
06005,2021,74,41144
06005,2022,81,41412
06007,2018,233,230330
06007,2019,198,218726
06007,2020,180,210135
06007,2021,237,206190
06007,2022,232,207303
06009,2018,52,45747
06009,2019,33,46119
06009,2020,51,45346
06009,2021,56,46219
06009,2022,49,46563
06011,2018,18,21389
06011,2019,14,21474
06011,2020,15,21858
06011,2021,20,21913
06011,2022,19,21914
06013,2018,1039,1150840
06013,2019,1071,1152883
06013,2020,973,1165986
06013,2021,1086,1163298
06013,2022,990,1156966
06015,2018,50,27793
06015,2019,60,27903
06015,2020,31,27601
06015,2021,51,27553
06015,2022,52,27082
06017,2018,205,190925
06017,2019,175,193057
06017,2020,181,191220
06017,2021,177,193590
06017,2022,182,192646
06019,2018,808,991298
06019,2019,896,997847
06019,2020,788,1009503
06019,2021,886,1012992
06019,2022,904,1015190
06021,2018,33,27899
06021,2019,34,28445
06021,2020,27,28896
06021,2021,34,28664
06021,2022,29,28339
06023,2018,222,136502
06023,2019,178,135839
06023,2020,186,136261
