state_code,month,year,source,count_alldrug,count_opioid,count_heroin,count_stimulant
AK,1,2018,ED,62,13,0,0
AK,1,2018,HOSP,36,11,0,0
AK,2,2018,ED,66,0,0,0
AK,2,2018,HOSP,18,0,0,0
AK,3,2018,ED,82,24,17,0
AK,3,2018,HOSP,37,14,0,0
AK,4,2018,ED,86,25,19,11
AK,4,2018,HOSP,32,0,0,0
AK,5,2018,ED,62,18,14,0
AK,5,2018,HOSP,19,0,0,0
AK,6,2018,ED,68,18,12,0
AK,6,2018,HOSP,27,0,0,0
AK,7,2018,ED,71,23,0,0
AK,7,2018,HOSP,33,0,0,0
AK,8,2018,ED,80,27,19,0
AK,8,2018,HOSP,29,0,0,0
AK,9,2018,ED,51,12,0,0
AK,9,2018,HOSP,29,11,0,0
AK,10,2018,ED,73,33,0,0
AK,10,2018,HOSP,27,10,0,0
AK,11,2018,ED,79,23,11,0
AK,11,2018,HOSP,38,16,0,0
AK,12,2018,ED,50,16,13,0
AK,12,2018,HOSP,22,0,0,0
AK,1,2019,ED,67,20,10,0
AK,1,2019,HOSP,29,10,0,0
AK,2,2019,ED,68,29,15,0
AK,2,2019,HOSP,20,0,0,0
AK,3,2019,ED,70,27,10,0
AK,3,2019,HOSP,30,0,0,0
AK,4,2019,ED,51,17,0,0
AK,4,2019,HOSP,30,12,0,0
AK,5,2019,ED,71,28,15,0
AK,5,2019,HOSP,41,11,0,13
AK,6,2019,ED,70,24,18,0
AK,6,2019,HOSP,25,13,0,0
AK,7,2019,ED,67,22,10,0
AK,7,2019,HOSP,24,10,0,0
AK,8,2019,ED,75,19,0,0
AK,8,2019,HOSP,31,10,0,0
AK,9,2019,ED,67,19,0,0
AK,9,2019,HOSP,31,0,0,0
AK,10,2019,ED,67,16,0,0
AK,10,2019,HOSP,33,11,0,0
AK,11,2019,ED,51,15,0,0
AK,11,2019,HOSP,35,0,0,0
AK,12,2019,ED,64,19,11,0
AK,12,2019,HOSP,25,10,0,0
AK,1,2020,ED,50,19,0,0
AK,1,2020,HOSP,28,0,0,0
AK,2,2020,ED,55,13,0,0
AK,2,2020,HOSP,29,0,0,0
AK,3,2020,ED,65,25,15,0
AK,3,2020,HOSP,38,11,0,0
AK,4,2020,ED,74,40,0,0
AK,4,2020,HOSP,25,12,0,0
AK,5,2020,ED,91,36,16,11
AK,5,2020,HOSP,41,16,0,0
AK,6,2020,ED,69,28,11,0
AK,6,2020,HOSP,30,12,0,0
AK,7,2020,ED,80,39,18,0
AK,7,2020,HOSP,38,0,0,14
AK,8,2020,ED,76,30,0,0
AK,8,2020,HOSP,34,0,0,12
AK,9,2020,ED,64,24,0,0
AK,9,2020,HOSP,30,0,0,0
AK,10,2020,ED,48,19,0,0
AK,10,2020,HOSP,25,0,0,0
AK,11,2020,ED,63,23,11,0
AK,11,2020,HOSP,31,15,0,0
AK,12,2020,ED,84,34,15,0
AK,12,2020,HOSP,19,0,0,0
AK,1,2021,ED,59,23,10,0
AK,1,2021,HOSP,28,0,0,0
AK,2,2021,ED,56,21,0,0
AK,2,2021,HOSP,32,12,0,0
AK,3,2021,ED,86,44,26,0
AK,3,2021,HOSP,33,13,0,10
AK,4,2021,ED,88,54,34,0
AK,4,2021,HOSP,31,10,0,0
AK,5,2021,ED,125,77,45,0
AK,5,2021,HOSP,41,14,0,0
AK,6,2021,ED,67,33,17,0
AK,6,2021,HOSP,27,13,0,0
AK,7,2021,ED,87,44,19,0
AK,7,2021,HOSP,35,13,0,0
AK,8,2021,ED,70,28,11,0
AK,8,2021,HOSP,24,10,0,0
AK,9,2021,ED,54,25,14,0
AK,9,2021,HOSP,23,0,0,0
AK,10,2021,ED,77,40,18,0
AK,10,2021,HOSP,38,16,0,0
AK,11,2021,ED,77,38,11,0
AK,11,2021,HOSP,34,12,0,0
AK,12,2021,ED,91,58,30,0
AK,12,2021,HOSP,27,0,0,0
AK,1,2022,ED,67,32,10,0
AK,1,2022,HOSP,15,0,0,0
AK,2,2022,ED,51,19,0,0
AK,2,2022,HOSP,31,0,0,0
AK,3,2022,ED,65,37,17,0
AK,3,2022,HOSP,34,0,0,0
AK,4,2022,ED,76,32,14,0
AK,4,2022,HOSP,37,12,0,0
AK,5,2022,ED,66,26,0,0
AK,5,2022,HOSP,40,22,0,0
AK,6,2022,ED,78,40,18,0
AK,6,2022,HOSP,31,11,0,0
AK,7,2022,ED,83,31,0,0
AK,7,2022,HOSP,43,13,0,12
AK,8,2022,ED,106,39,16,0
AK,8,2022,HOSP,26,11,0,0
AK,9,2022,ED,94,40,13,0
AK,9,2022,HOSP,27,13,0,0
AK,10,2022,ED,83,38,0,0
AK,10,2022,HOSP,34,11,0,10
AK,11,2022,ED,76,24,0,0
AK,11,2022,HOSP,30,0,0,0
AK,12,2022,ED,59,23,0,0
AK,12,2022,HOSP,32,14,0,0
CA,1,2018,ED,3346,769,395,348
CA,2,2018,ED,3181,854,452,392
CA,3,2018,ED,3464,917,485,438
CA,4,2018,ED,3460,876,444,403
CA,5,2018,ED,3446,893,452,430
CA,6,2018,ED,3339,951,497,394
CA,7,2018,ED,3639,981,534,493
CA,8,2018,ED,3662,1114,597,449
CA,9,2018,ED,3409,986,501,414
CA,10,2018,ED,3414,968,479,404
CA,11,2018,ED,3100,868,421,315
CA,12,2018,ED,3255,912,434,351
CA,1,2019,ED,3073,829,397,338
CA,2,2019,ED,2985,784,356,364
CA,3,2019,ED,3358,897,386,406
CA,4,2019,ED,3319,995,440,403
CA,5,2019,ED,3620,1097,478,409
CA,6,2019,ED,3605,1207,537,458
CA,7,2019,ED,3823,1228,492,524
CA,8,2019,ED,3796,1275,488,458
CA,9,2019,ED,3779,1257,462,482
CA,10,2019,ED,3775,1218,419,504
CA,11,2019,ED,3445,1131,382,479
CA,12,2019,ED,3775,1232,399,528
CA,1,2020,ED,3887,1349,406,496
CA,2,2020,ED,3788,1374,367,428
CA,3,2020,ED,3647,1407,403,479
CA,4,2020,ED,3236,1404,388,444
CA,5,2020,ED,3763,1535,417,499
CA,6,2020,ED,3694,1489,383,466
CA,7,2020,ED,4022,1688,408,495
CA,8,2020,ED,4216,1750,403,541
CA,9,2020,ED,4132,1746,405,501
CA,10,2020,ED,4008,1693,371,506
CA,11,2020,ED,3710,1507,304,480
CA,12,2020,ED,3449,1561,259,399
CA,1,2021,ED,3741,1665,279,431
CA,2,2021,ED,3793,1641,279,434
CA,3,2021,ED,4331,1896,357,522
CA,4,2021,ED,4457,1944,336,522
CA,5,2021,ED,4639,2039,294,576
CA,6,2021,ED,4519,1969,279,552
CA,7,2021,ED,4607,2102,330,503
CA,8,2021,ED,4820,2274,318,543
CA,9,2021,ED,4341,2009,257,482
CA,10,2021,ED,4114,1977,261,492
CA,11,2021,ED,4042,1947,209,453
CA,12,2021,ED,3919,1927,186,406
CA,1,2022,ED,3824,1931,219,402
CA,2,2022,ED,3696,1793,173,402
CA,3,2022,ED,4208,2002,181,472
CA,4,2022,ED,3935,1840,146,449
CA,5,2022,ED,4132,1923,124,484
CA,6,2022,ED,4103,2030,132,441
CA,7,2022,ED,4216,2151,132,470
CA,8,2022,ED,4378,2209,121,453
CA,9,2022,ED,4130,2107,112,419
CA,10,2022,ED,4135,2152,91,295
CA,11,2022,ED,3588,1847,73,222
CA,12,2022,ED,3630,1879,91,197
CO,1,2018,ED,576,152,77,21
CO,1,2018,HOSP,227,85,14,30
CO,2,2018,ED,468,123,47,31
CO,2,2018,HOSP,175,62,0,23
CO,3,2018,ED,554,157,76,37
CO,3,2018,HOSP,219,76,14,49
CO,4,2018,ED,544,147,68,37
CO,4,2018,HOSP,219,71,16,45
CO,5,2018,ED,532,133,57,38
CO,5,2018,HOSP,224,73,21,44
CO,6,2018,ED,584,169,74,40
CO,6,2018,HOSP,209,71,22,34
CO,7,2018,ED,645,169,92,51
CO,7,2018,HOSP,229,70,15,48
CO,8,2018,ED,599,147,70,31
CO,8,2018,HOSP,217,69,13,40
CO,9,2018,ED,644,172,88,45
CO,9,2018,HOSP,215,79,23,46
CO,10,2018,ED,588,142,70,30
CO,10,2018,HOSP,229,72,18,50
CO,11,2018,ED,575,150,74,30
CO,11,2018,HOSP,201,58,0,39
CO,12,2018,ED,564,147,75,40
CO,12,2018,HOSP,214,71,13,49
CO,1,2019,ED,533,119,49,24
CO,1,2019,HOSP,232,72,14,49
CO,2,2019,ED,498,117,53,23
CO,2,2019,HOSP,251,64,16,64
CO,3,2019,ED,543,137,58,39
CO,3,2019,HOSP,220,68,14,48
CO,4,2019,ED,635,168,58,41
CO,4,2019,HOSP,251,89,15,50
CO,5,2019,ED,609,141,52,44
CO,5,2019,HOSP,244,76,19,54
CO,6,2019,ED,624,173,76,25
CO,6,2019,HOSP,238,69,13,46
CO,7,2019,ED,576,178,72,34
CO,7,2019,HOSP,241,62,13,53
CO,8,2019,ED,513,131,59,32
CO,8,2019,HOSP,205,61,14,53
CO,9,2019,ED,452,115,43,26
CO,9,2019,HOSP,182,56,13,41
CO,10,2019,ED,617,179,65,32
CO,10,2019,HOSP,231,76,18,49
CO,11,2019,ED,565,180,68,40
CO,11,2019,HOSP,195,65,25,45
CO,12,2019,ED,567,176,56,39
CO,12,2019,HOSP,235,85,21,54
CO,1,2020,ED,425,126,33,18
CO,1,2020,HOSP,170,71,11,38
CO,2,2020,ED,407,118,25,24
CO,2,2020,HOSP,171,65,16,25
CO,3,2020,ED,398,130,39,21
CO,3,2020,HOSP,170,60,15,31
CO,4,2020,ED,471,197,69,29
CO,4,2020,HOSP,178,69,13,42
CO,5,2020,ED,609,259,65,40
CO,5,2020,HOSP,234,89,18,48
CO,6,2020,ED,570,217,58,26
CO,6,2020,HOSP,224,100,22,51
CO,7,2020,ED,717,295,83,29
CO,7,2020,HOSP,230,92,12,53
CO,8,2020,ED,654,247,60,35
CO,8,2020,HOSP,241,90,12,47
CO,9,2020,ED,682,299,64,22
CO,9,2020,HOSP,224,83,0,41
CO,10,2020,ED,571,189,46,41
CO,10,2020,HOSP,228,76,16,41
CO,11,2020,ED,569,218,48,39
CO,11,2020,HOSP,230,88,19,37
CO,12,2020,ED,592,225,61,32
CO,12,2020,HOSP,216,65,11,41
CO,1,2021,ED,585,198,44,32
CO,1,2021,HOSP,241,96,13,44
CO,2,2021,ED,569,221,48,31
CO,2,2021,HOSP,204,75,12,44
CO,3,2021,ED,653,289,68,31
CO,3,2021,HOSP,229,96,15,54
CO,4,2021,ED,726,297,62,46
CO,4,2021,HOSP,204,75,11,54
CO,5,2021,ED,678,272,49,35
CO,5,2021,HOSP,234,93,11,56
CO,6,2021,ED,701,310,55,38
CO,6,2021,HOSP,228,94,12,52
CO,7,2021,ED,722,360,54,25
CO,7,2021,HOSP,202,77,0,43
CO,8,2021,ED,811,353,46,30
CO,8,2021,HOSP,221,97,11,36
CO,9,2021,ED,729,311,35,33
CO,9,2021,HOSP,202,87,0,45
CO,10,2021,ED,592,254,25,30
CO,10,2021,HOSP,178,53,0,42
CO,11,2021,ED,654,305,39,22
CO,11,2021,HOSP,193,64,0,41
CO,12,2021,ED,653,307,31,28
CO,12,2021,HOSP,208,72,0,37
CO,1,2022,ED,586,271,31,29
CO,1,2022,HOSP,178,82,0,24
CO,2,2022,ED,517,231,20,22
CO,2,2022,HOSP,157,61,0,21
CO,3,2022,ED,604,251,10,26
CO,3,2022,HOSP,176,74,0,35
