state_code,month,year,monthly_state_population
AK,1,2018,737419.50
AK,2,2018,737039.42
AK,3,2018,736659.33
AK,4,2018,736279.25
AK,5,2018,735899.17
AK,6,2018,735519.08
AK,7,2018,735139.00
AK,8,2018,734839.50
AK,9,2018,734540.00
AK,10,2018,734240.50
AK,11,2018,733941.00
AK,12,2018,733641.50
AK,1,2019,733342.00
AK,2,2019,733042.50
AK,3,2019,732743.00
AK,4,2019,732443.50
AK,5,2019,732144.00
AK,6,2019,731844.50
AK,7,2019,731545.00
AK,8,2019,731659.83
AK,9,2019,731774.67
AK,10,2019,731889.50
AK,11,2019,732004.33
AK,12,2019,732119.17
AK,1,2020,732234.00
AK,2,2020,732348.83
AK,3,2020,732463.67
AK,4,2020,732578.50
AK,5,2020,732693.33
AK,6,2020,732808.17
AK,7,2020,732923.00
AK,8,2020,733027.92
AK,9,2020,733132.83
AK,10,2020,733237.75
AK,11,2020,733342.67
AK,12,2020,733447.58
AK,1,2021,733552.50
AK,2,2021,733657.42
AK,3,2021,733762.33
AK,4,2021,733867.25
AK,5,2021,733972.17
AK,6,2021,734077.08
AK,7,2021,734182.00
AK,8,2021,734132.08
AK,9,2021,734082.17
AK,10,2021,734032.25
AK,11,2021,733982.33
AK,12,2021,733932.42
AK,1,2022,733882.50
AK,2,2022,733832.58
AK,3,2022,733782.67
AK,4,2022,733732.75
AK,5,2022,733682.83
AK,6,2022,733632.92
AK,7,2022,733583.00
AK,8,2022,733533.08
AK,9,2022,733483.17
AK,10,2022,733433.25
AK,11,2022,733383.33
AK,12,2022,733333.42
CA,1,2018,39410042.50
CA,2,2018,39418633.42
CA,3,2018,39427224.33
CA,4,2018,39435815.25
CA,5,2018,39444406.17
CA,6,2018,39452997.08
CA,7,2018,39461588.00
CA,8,2018,39465807.58
CA,9,2018,39470027.17
CA,10,2018,39474246.75
CA,11,2018,39478466.33
CA,12,2018,39482685.92
CA,1,2019,39486905.50
CA,2,2019,39491125.08
CA,3,2019,39495344.67
CA,4,2019,39499564.25
CA,5,2019,39503783.83
CA,6,2019,39508003.42
CA,7,2019,39512223.00
CA,8,2019,39511342.17
CA,9,2019,39510461.33
CA,10,2019,39509580.50
CA,11,2019,39508699.67
CA,12,2019,39507818.83
CA,1,2020,39506938.00
CA,2,2020,39506057.17
CA,3,2020,39505176.33
CA,4,2020,39504295.50
CA,5,2020,39503414.67
CA,6,2020,39502533.83
CA,7,2020,39501653.00
CA,8,2020,39471764.50
CA,9,2020,39441876.00
CA,10,2020,39411987.50
CA,11,2020,39382099.00
CA,12,2020,39352210.50
CA,1,2021,39322322.00
CA,2,2021,39292433.50
CA,3,2021,39262545.00
CA,4,2021,39232656.50
CA,5,2021,39202768.00
CA,6,2021,39172879.50
CA,7,2021,39142991.00
CA,8,2021,39133520.25
CA,9,2021,39124049.50
CA,10,2021,39114578.75
CA,11,2021,39105108.00
CA,12,2021,39095637.25
CA,1,2022,39086166.50
CA,2,2022,39076695.75
CA,3,2022,39067225.00
CA,4,2022,39057754.25
CA,5,2022,39048283.50
CA,6,2022,39038812.75
CA,7,2022,39029342.00
CA,8,2022,39019871.25
CA,9,2022,39010400.50
CA,10,2022,39000929.75
CA,11,2022,38991459.00
CA,12,2022,38981988.25
CO,1,2018,5651586.00
CO,2,2018,5658202.83
CO,3,2018,5664819.67
CO,4,2018,5671436.50
CO,5,2018,5678053.33
CO,6,2018,5684670.17
CO,7,2018,5691287.00
CO,8,2018,5696907.75
CO,9,2018,5702528.50
CO,10,2018,5708149.25
CO,11,2018,5713770.00
CO,12,2018,5719390.75
CO,1,2019,5725011.50
CO,2,2019,5730632.25
CO,3,2019,5736253.00
CO,4,2019,5741873.75
CO,5,2019,5747494.50
CO,6,2019,5753115.25
CO,7,2019,5758736.00
CO,8,2019,5760913.42
CO,9,2019,5763090.83
CO,10,2019,5765268.25
CO,11,2019,5767445.67
CO,12,2019,5769623.08
CO,1,2020,5771800.50
CO,2,2020,5773977.92
CO,3,2020,5776155.33
CO,4,2020,5778332.75
CO,5,2020,5780510.17
CO,6,2020,5782687.58
CO,7,2020,5784865.00
CO,8,2020,5787067.67
CO,9,2020,5789270.33
CO,10,2020,5791473.00
CO,11,2020,5793675.67
CO,12,2020,5795878.33
CO,1,2021,5798081.00
CO,2,2021,5800283.67
CO,3,2021,5802486.33
CO,4,2021,5804689.00
CO,5,2021,5806891.67
CO,6,2021,5809094.33
CO,7,2021,5811297.00
CO,8,2021,5813682.75
CO,9,2021,5816068.50
CO,10,2021,5818454.25
CO,11,2021,5820840.00
CO,12,2021,5823225.75
CO,1,2022,5825611.50
CO,2,2022,5827997.25
CO,3,2022,5830383.00
CO,4,2022,5832768.75
CO,5,2022,5835154.50
CO,6,2022,5837540.25
CO,7,2022,5839926.00
CO,8,2022,5842311.75
CO,9,2022,5844697.50
CO,10,2022,5847083.25
CO,11,2022,5849469.00
CO,12,2022,5851854.75
DE,1,2018,961151.00
DE,2,2018,961872.33
DE,3,2018,962593.67
DE,4,2018,963315.00
DE,5,2018,964036.33
DE,6,2018,964757.67
DE,7,2018,965479.00
DE,8,2018,966169.42
DE,9,2018,966859.83
DE,10,2018,967550.25
DE,11,2018,968240.67
DE,12,2018,968931.08
DE,1,2019,969621.50
DE,2,2019,970311.92
DE,3,2019,971002.33
DE,4,2019,971692.75
DE,5,2019,972383.17
DE,6,2019,973073.58
DE,7,2019,973764.00
DE,8,2019,975293.17
DE,9,2019,976822.33
DE,10,2019,978351.50
DE,11,2019,979880.67
DE,12,2019,981409.83
DE,1,2020,982939.00
DE,2,2020,984468.17
DE,3,2020,985997.33
DE,4,2020,987526.50
DE,5,2020,989055.67
DE,6,2020,990584.83
DE,7,2020,992114.00
DE,8,2020,993171.75
DE,9,2020,994229.50
DE,10,2020,995287.25
DE,11,2020,996345.00
DE,12,2020,997402.75
DE,1,2021,998460.50
DE,2,2021,999518.25
DE,3,2021,1000576.00
DE,4,2021,1001633.75
DE,5,2021,1002691.50
DE,6,2021,1003749.25
DE,7,2021,1004807.00
DE,8,2021,1005939.42
DE,9,2021,1007071.83
DE,10,2021,1008204.25
DE,11,2021,1009336.67
DE,12,2021,1010469.08
DE,1,2022,1011601.50
DE,2,2022,1012733.92
DE,3,2022,1013866.33
DE,4,2022,1014998.75
DE,5,2022,1016131.17
DE,6,2022,1017263.58
DE,7,2022,1018396.00
DE,8,2022,1019528.42
DE,9,2022,1020660.83
DE,10,2022,1021793.25
DE,11,2022,1022925.67
DE,12,2022,1024058.08
GA,1,2018,10460730.50
GA,2,2018,10469130.58
GA,3,2018,10477530.67
GA,4,2018,10485930.75
GA,5,2018,10494330.83
GA,6,2018,10502730.92
GA,7,2018,10511131.00
GA,8,2018,10519988.67
GA,9,2018,10528846.33
GA,10,2018,10537704.00
GA,11,2018,10546561.67
GA,12,2018,10555419.33
GA,1,2019,10564277.00
GA,2,2019,10573134.67
GA,3,2019,10581992.33
GA,4,2019,10590850.00
GA,5,2019,10599707.67
GA,6,2019,10608565.33
GA,7,2019,10617423.00
GA,8,2019,10626790.08
GA,9,2019,10636157.17
GA,10,2019,10645524.25
GA,11,2019,10654891.33
GA,12,2019,10664258.42
GA,1,2020,10673625.50
GA,2,2020,10682992.58
GA,3,2020,10692359.67
GA,4,2020,10701726.75
GA,5,2020,10711093.83
GA,6,2020,10720460.92
GA,7,2020,10729828.00
GA,8,2020,10734678.08
GA,9,2020,10739528.17
GA,10,2020,10744378.25
GA,11,2020,10749228.33
GA,12,2020,10754078.42
GA,1,2021,10758928.50
GA,2,2021,10763778.58
GA,3,2021,10768628.67
GA,4,2021,10773478.75
GA,5,2021,10778328.83
GA,6,2021,10783178.92
GA,7,2021,10788029.00
GA,8,2021,10798432.92
GA,9,2021,10808836.83
GA,10,2021,10819240.75
GA,11,2021,10829644.67
GA,12,2021,10840048.58
GA,1,2022,10850452.50
GA,2,2022,10860856.42
GA,3,2022,10871260.33
GA,4,2022,10881664.25
GA,5,2022,10892068.17
GA,6,2022,10902472.08
GA,7,2022,10912876.00
GA,8,2022,10923279.92
GA,9,2022,10933683.83
GA,10,2022,10944087.75
GA,11,2022,10954491.67
GA,12,2022,10964895.58
HI,1,2018,1422493.00
HI,2,2018,1422176.33
HI,3,2018,1421859.67
HI,4,2018,1421543.00
HI,5,2018,1421226.33
HI,6,2018,1420909.67
HI,7,2018,1420593.00
HI,8,2018,1420199.58
HI,9,2018,1419806.17
HI,10,2018,1419412.75
HI,11,2018,1419019.33
HI,12,2018,1418625.92
HI,1,2019,1418232.50
HI,2,2019,1417839.08
HI,3,2019,1417445.67
HI,4,2019,1417052.25
HI,5,2019,1416658.83
HI,6,2019,1416265.42
HI,7,2019,1415872.00
HI,8,2019,1418802.92
HI,9,2019,1421733.83
HI,10,2019,1424664.75
HI,11,2019,1427595.67
HI,12,2019,1430526.58
HI,1,2020,1433457.50
HI,2,2020,1436388.42
HI,3,2020,1439319.33
HI,4,2020,1442250.25
HI,5,2020,1445181.17
HI,6,2020,1448112.08
HI,7,2020,1451043.00
HI,8,2020,1450718.92
HI,9,2020,1450394.83
HI,10,2020,1450070.75
HI,11,2020,1449746.67
HI,12,2020,1449422.58
HI,1,2021,1449098.50
HI,2,2021,1448774.42
HI,3,2021,1448450.33
HI,4,2021,1448126.25
HI,5,2021,1447802.17
HI,6,2021,1447478.08
HI,7,2021,1447154.00
HI,8,2021,1446574.17
HI,9,2021,1445994.33
HI,10,2021,1445414.50
HI,11,2021,1444834.67
HI,12,2021,1444254.83
HI,1,2022,1443675.00
HI,2,2022,1443095.17
HI,3,2022,1442515.33
